"onset","duration","trial","sync_side","key","dominant","subject","session"
447.158736389596,"1.27321797888726","keypress","right","left","asynchronous",1,1
449.015574723016,"1.8568383334204555","keypress","right","right","synchronous",1,1
452.630476012826,"3.614901289809495","keypress","right","left","asynchronous",1,1
456.04116964573,"3.41069363290444","keypress","right","right","synchronous",1,1
465.438695800956,"9.397526155225933","keypress","right","left","asynchronous",1,1
467.826218228787,"2.387522427830845","keypress","right","right","synchronous",1,1
468.040193176828,"0.21397494804114103","keypress","right","left","asynchronous",1,1
468.360811164603,"0.3206179877743125","keypress","right","right","synchronous",1,1
470.533688582946,"2.1728774183429778","keypress","right","left","asynchronous",1,1
474.777334135957,"4.243645553011447","keypress","right","right","synchronous",1,1
475.254555946682,"0.47722181072458625","keypress","right","left","asynchronous",1,1
475.468544816598,"0.21398886991664767","keypress","right","right","synchronous",1,1
475.682792680804,"0.21424786420539021","keypress","right","left","asynchronous",1,1
476.796246202663,"1.1134535218589008","keypress","right","right","synchronous",1,1
479.927383967675,"3.1311377650126815","keypress","right","left","asynchronous",1,1
485.92860260373,"6.001218636054546","keypress","right","right","synchronous",1,1
487.414723807946,"1.4861212042160332","keypress","right","left","asynchronous",1,1
490.33723821491,"2.922514406964183","keypress","right","right","synchronous",1,1
496.543677065987,"6.20643885107711","keypress","right","left","asynchronous",1,1
501.168741414789,"4.6250643488019705","keypress","right","right","synchronous",1,1
503.131017508917,"1.9622760941274464","keypress","right","left","asynchronous",1,1
507.374474457931,"4.243456949014217","keypress","right","right","synchronous",1,1
508.598177639768,"1.223703181836754","keypress","right","left","asynchronous",1,1
511.829808590002,"3.2316309502348304","keypress","right","right","synchronous",1,1
513.156359700952,"1.3265511109493673","keypress","right","left","asynchronous",1,1
514.647378841881,"1.4910191409289837","keypress","right","right","synchronous",1,1
514.966596180573,"0.3192173386923969","keypress","right","left","asynchronous",1,1
515.602223016787,"0.6356268362142146","keypress","right","right","synchronous",1,1
515.867925945669,"0.26570292888209224","keypress","right","left","asynchronous",1,1
516.398037966806,"0.5301120211370289","keypress","right","right","synchronous",1,1
516.611656932626,"0.21361896581947803","keypress","right","left","asynchronous",1,1
516.930473960005,"0.31881702737882733","keypress","right","right","synchronous",1,1
517.407752698753,"0.4772787387482822","keypress","right","left","asynchronous",1,1
517.67451277189,"0.26676007313653827","keypress","right","right","synchronous",1,1
518.263690380845,"0.5891776089556515","keypress","right","left","asynchronous",1,1
518.477331015747,"0.2136406349018216","keypress","right","right","synchronous",1,1
519.114289294928,"0.6369582791812718","keypress","right","left","asynchronous",1,1
519.274443674833,"0.16015437990427017","keypress","right","right","synchronous",1,1
520.070246258751,"0.7958025839179754","keypress","right","left","asynchronous",1,1
520.283350066748,"0.2131038079969585","keypress","right","right","synchronous",1,1
521.132365844678,"0.8490157779306173","keypress","right","left","asynchronous",1,1
523.52452162886,"2.3921557841822505","keypress","right","right","synchronous",1,1
532.279395188671,"8.754873559810221","keypress","right","left","asynchronous",1,1
533.236830694601,"0.9574355059303343","keypress","right","right","synchronous",1,1
536.217477366794,"2.980646672192961","keypress","right","left","asynchronous",1,1
541.52239253791,"5.3049151711165905","keypress","right","right","synchronous",1,1
549.602453044616,"8.080060506705195","keypress","right","left","asynchronous",1,1
554.908464254811,"5.30601121019572","keypress","right","right","synchronous",1,1
556.50752073992,"1.5990564851090312","keypress","right","left","asynchronous",1,1
557.091190340929,"0.583669601008296","keypress","right","right","synchronous",1,1
557.623693635687,"0.5325032947584987","keypress","right","left","asynchronous",1,1
558.206893718801,"0.5832000831142068","keypress","right","right","synchronous",1,1
563.309321167879,"5.102427449077368","keypress","right","left","asynchronous",1,1
568.193579632789,"4.88425846491009","keypress","right","right","synchronous",1,1
568.831779784989,"0.6382001521997154","keypress","right","left","asynchronous",1,1
569.47014379967,"0.6383640146814287","keypress","right","right","synchronous",1,1
570.583666737657,"1.1135229379869998","keypress","right","left","asynchronous",1,1
573.505896640942,"2.9222299032844603","keypress","right","right","synchronous",1,1
577.43468816299,"3.9287915220484138","keypress","right","left","asynchronous",1,1
583.005341827869,"5.570653664879501","keypress","right","right","synchronous",1,1
586.620567535982,"3.6152257081121206","keypress","right","left","asynchronous",1,1
591.983433215879,"n/a","keypress","right","right","synchronous",1,1
599.989224667661,"n/a","end_rivalry","right","n/a","n/a",1,1
0,"n/a","start_rivalry","left","n/a","n/a",1,2
1.27536555193365,"n/a","keypress","left","right","asynchronous",1,2
2.76178480312228,"1.4864192511886358","keypress","left","left","synchronous",1,2
4.62209900189191,"1.860314198769629","keypress","left","right","asynchronous",1,2
5.04825892113149,"0.42615991923958063","keypress","left","left","synchronous",1,2
5.26238394388929,"0.21412502275779843","keypress","left","right","asynchronous",1,2
6.27068180777133,"1.008297863882035","keypress","left","left","synchronous",1,2
8.2919306801632,"2.0212488723918796","keypress","left","right","asynchronous",1,2
